gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
male,group C,associate's degree,free/reduced,none,68,65,61
male,group D,high school,standard,none,41,52,51
male,group D,high school,free/reduced,none,44,51,48
male,group C,some high school,free/reduced,none,79,76,65
female,group E,associate's degree,standard,completed,93,100,95
male,group B,some high school,standard,completed,64,53,57
male,group C,associate's degree,free/reduced,none,73,68,66
male,group B,some high school,standard,none,88,84,75
female,group C,some college,free/reduced,none,62,72,70
male,group D,some college,free/reduced,none,62,57,62
male,group C,high school,free/reduced,none,61,60,55
male,group D,associate's degree,standard,none,90,87,85
male,group D,high school,free/reduced,none,75,74,66
female,group C,some college,free/reduced,none,77,90,91
female,group C,some college,standard,none,82,90,94
male,group E,high school,standard,none,80,76,65
male,group D,high school,free/reduced,none,63,57,56
male,group E,some high school,standard,none,82,67,61
female,group E,some college,standard,none,61,64,62
male,group A,high school,standard,none,57,43,47
female,group D,high school,standard,none,45,63,59
male,group E,high school,free/reduced,none,55,56,51
female,group B,associate's degree,standard,none,58,63,65
male,group B,bachelor's degree,free/reduced,none,73,56,57
female,group E,bachelor's degree,standard,none,65,73,75
female,group C,some high school,standard,completed,59,54,67
female,group C,some college,standard,completed,88,93,93
female,group D,associate's degree,standard,none,65,69,70
male,group C,associate's degree,standard,none,69,77,69
male,group C,high school,standard,none,70,56,51
male,group E,associate's degree,standard,none,89,76,74
male,group E,high school,standard,none,84,73,69
male,group D,associate's degree,free/reduced,completed,61,71,73
female,group B,high school,standard,none,74,72,72
male,group B,high school,standard,none,57,48,51
female,group C,high school,standard,completed,60,64,74
male,group C,high school,free/reduced,none,54,72,59
female,group A,bachelor's degree,standard,none,51,49,51
female,group D,some high school,standard,completed,80,92,88
female,group A,some college,free/reduced,none,49,65,55
male,group C,bachelor's degree,standard,completed,91,81,79
male,group B,high school,standard,none,52,48,49
male,group C,master's degree,standard,none,67,57,59
female,group C,bachelor's degree,free/reduced,completed,47,62,66
male,group B,some high school,standard,completed,61,56,56
female,group D,associate's degree,free/reduced,completed,74,88,90
female,group E,some college,standard,none,68,70,66
male,group C,master's degree,free/reduced,completed,79,77,75
female,group D,some college,free/reduced,none,64,74,75
male,group B,some college,standard,completed,91,96,91
female,group E,bachelor's degree,free/reduced,none,61,58,62
female,group C,bachelor's degree,free/reduced,none,43,62,61
female,group C,high school,free/reduced,none,53,72,64
female,group E,bachelor's degree,standard,none,64,73,70
female,group A,high school,free/reduced,completed,53,50,60
female,group C,bachelor's degree,standard,none,86,92,87
female,group D,high school,standard,none,69,72,77
female,group C,some high school,standard,none,77,91,88
female,group D,high school,standard,none,78,81,80
female,group C,some college,standard,none,54,48,52
male,group A,associate's degree,standard,none,54,53,47
female,group E,associate's degree,free/reduced,none,73,76,78
female,group B,bachelor's degree,standard,none,67,86,83
male,group C,associate's degree,free/reduced,none,49,51,51
female,group C,master's degree,free/reduced,none,40,58,54
male,group D,associate's degree,free/reduced,none,52,57,50
female,group D,some college,standard,completed,82,97,96
male,group D,some high school,standard,none,81,78,78
female,group B,high school,free/reduced,completed,23,44,36
male,group E,some high school,standard,none,92,87,78
female,group B,some high school,standard,completed,32,51,44
female,group E,some college,standard,completed,73,78,76
male,group C,associate's degree,standard,none,83,72,78
female,group B,high school,standard,none,50,53,55
female,group D,master's degree,standard,completed,70,71,74
male,group D,associate's degree,standard,completed,67,54,63
female,group D,associate's degree,free/reduced,completed,42,61,58
male,group D,some college,free/reduced,none,59,62,61
female,group B,some college,standard,none,70,75,78
male,group B,some college,free/reduced,none,55,55,47
male,group D,associate's degree,standard,none,61,48,46
female,group B,bachelor's degree,standard,completed,66,74,81
female,group D,bachelor's degree,free/reduced,none,73,79,84
female,group D,some high school,standard,none,80,90,82
female,group A,some high school,free/reduced,none,38,43,43
female,group B,associate's degree,standard,completed,52,66,73
male,group C,high school,standard,completed,58,52,54
female,group C,high school,standard,none,72,80,83
female,group C,associate's degree,standard,completed,68,86,84
female,group C,bachelor's degree,standard,completed,77,94,95
female,group B,some high school,standard,none,82,82,80
female,group D,associate's degree,standard,none,76,74,73
male,group E,some high school,standard,completed,81,75,76
male,group E,associate's degree,free/reduced,completed,46,43,44
male,group D,some college,standard,none,88,77,77
male,group C,associate's degree,free/reduced,completed,65,73,68
female,group B,bachelor's degree,standard,none,97,97,96
female,group B,some college,standard,none,82,85,87
female,group B,bachelor's degree,standard,completed,65,81,81
male,group C,master's degree,standard,completed,91,85,85
female,group C,associate's degree,standard,completed,55,72,79
female,group D,master's degree,standard,none,92,100,100
female,group B,high school,standard,none,81,91,89
female,group E,associate's degree,free/reduced,completed,57,68,73
female,group C,some college,standard,none,73,80,82
female,group D,high school,standard,none,56,52,55
female,group D,associate's degree,standard,completed,57,78,79
male,group D,associate's degree,free/reduced,none,66,62,64
male,group C,high school,standard,completed,53,52,49
male,group E,associate's degree,standard,completed,81,81,79
male,group C,high school,standard,completed,75,69,68
male,group A,high school,standard,completed,72,73,74
female,group B,some high school,standard,none,73,79,79
female,group E,some college,standard,completed,86,85,91
female,group C,bachelor's degree,standard,none,65,79,81
male,group D,high school,standard,none,64,54,50
female,group B,high school,standard,none,58,68,61
male,group D,some high school,standard,none,55,47,44
male,group C,associate's degree,free/reduced,completed,78,81,82
female,group D,some college,free/reduced,completed,63,80,80
male,group D,high school,free/reduced,completed,73,68,66
female,group C,high school,standard,none,81,84,82
female,group E,high school,standard,none,74,81,71
female,group C,associate's degree,standard,none,49,53,53
male,group C,bachelor's degree,free/reduced,none,53,58,55
male,group D,some college,free/reduced,none,77,62,64
female,group D,some college,free/reduced,none,69,65,74
male,group E,bachelor's degree,standard,none,82,62,62
male,group E,some college,standard,none,76,67,67
female,group B,high school,standard,none,42,52,51
female,group C,associate's degree,standard,none,85,89,95
female,group C,high school,standard,completed,58,75,77
female,group C,high school,standard,none,59,72,68
female,group C,high school,free/reduced,none,34,42,39
male,group C,some college,standard,none,76,78,75
female,group D,some high school,standard,none,68,71,75
female,group B,some high school,free/reduced,none,72,81,79
female,group C,some high school,free/reduced,none,48,56,51
male,group C,bachelor's degree,standard,completed,94,90,91
male,group D,associate's degree,standard,none,81,71,73
female,group A,some high school,standard,completed,92,100,97
male,group E,some college,standard,completed,81,74,71
female,group C,some high school,free/reduced,completed,29,40,44
female,group D,some college,free/reduced,none,58,67,62
female,group C,some college,standard,none,73,76,78
male,group E,some high school,standard,completed,68,51,57
female,group C,high school,free/reduced,completed,50,66,64
male,group B,associate's degree,standard,completed,65,65,63
male,group C,some college,free/reduced,none,63,61,54
female,group C,high school,standard,none,66,71,76
female,group E,master's degree,free/reduced,none,56,72,65
male,group E,associate's degree,standard,completed,94,85,82
female,group C,associate's degree,standard,none,66,77,73
female,group C,associate's degree,standard,completed,67,84,86
male,group D,bachelor's degree,free/reduced,completed,74,79,75
female,group C,bachelor's degree,standard,none,67,69,75
male,group C,bachelor's degree,standard,completed,63,64,66
male,group D,some college,standard,none,76,64,66
male,group A,associate's degree,free/reduced,completed,79,82,82
female,group B,some high school,free/reduced,completed,52,67,72
female,group A,some high school,standard,none,71,83,77
male,group B,bachelor's degree,free/reduced,none,88,75,76
male,group D,some college,standard,none,68,59,62
female,group D,high school,standard,completed,69,77,78
female,group D,some college,standard,none,77,68,77
male,group E,bachelor's degree,standard,none,68,68,64
female,group B,some high school,standard,none,66,69,68
female,group C,associate's degree,standard,none,59,66,67
male,group A,associate's degree,free/reduced,none,62,61,55
female,group C,high school,standard,none,63,69,74
female,group E,high school,free/reduced,none,64,62,68
male,group D,master's degree,standard,none,82,82,74
male,group B,some college,free/reduced,completed,60,62,60
male,group D,some college,standard,none,71,49,52
male,group B,associate's degree,free/reduced,completed,58,57,53
female,group E,associate's degree,standard,none,100,100,100
female,group D,some high school,standard,none,59,58,59
female,group C,master's degree,standard,completed,54,64,67
female,group A,master's degree,standard,none,50,53,58
female,group E,high school,free/reduced,completed,66,74,78
male,group C,associate's degree,free/reduced,none,55,61,54
female,group C,some college,standard,none,83,83,90
male,group A,bachelor's degree,standard,none,66,64,62
male,group D,some high school,standard,completed,62,66,68
female,group B,high school,standard,none,62,62,63
female,group E,associate's degree,free/reduced,completed,83,86,88
female,group D,some college,free/reduced,none,60,66,70
male,group C,some college,standard,none,53,44,42
female,group D,some high school,standard,none,59,72,80
male,group C,associate's degree,standard,none,49,51,43
female,group C,bachelor's degree,free/reduced,none,50,60,59
male,group E,associate's degree,free/reduced,completed,91,73,80
male,group B,some college,standard,none,47,43,41
male,group B,associate's degree,free/reduced,none,67,62,60
female,group B,some high school,standard,none,57,67,72
female,group D,some college,free/reduced,none,71,83,83
female,group E,associate's degree,standard,completed,65,75,77
male,group B,some college,free/reduced,none,54,54,45
male,group C,bachelor's degree,free/reduced,none,37,56,47
male,group C,high school,free/reduced,none,62,55,55
male,group B,some high school,standard,completed,94,86,87
male,group D,bachelor's degree,free/reduced,completed,39,42,38
female,group E,some college,free/reduced,none,71,76,70
female,group D,some college,free/reduced,none,65,81,77
female,group E,some college,free/reduced,completed,75,88,85
female,group C,some college,free/reduced,none,32,39,33
male,group C,some college,standard,none,53,39,37
male,group A,some college,standard,none,53,43,43
male,group A,bachelor's degree,standard,completed,87,84,87
male,group E,bachelor's degree,standard,completed,76,62,66
female,group D,bachelor's degree,free/reduced,none,78,90,93
male,group D,bachelor's degree,standard,none,75,73,74
female,group C,some college,standard,none,58,67,72
male,group B,associate's degree,standard,none,48,43,45
male,group D,master's degree,standard,none,73,70,75
female,group C,some college,standard,completed,69,90,88
female,group E,high school,free/reduced,none,57,58,57
male,group B,some high school,standard,completed,79,85,86
female,group C,some college,standard,none,63,74,74
female,group B,associate's degree,standard,none,47,49,50
male,group D,some high school,standard,completed,74,71,78
male,group E,some college,standard,none,97,87,82
female,group B,some high school,free/reduced,none,49,58,55
male,group C,master's degree,standard,none,79,78,77
male,group C,some high school,free/reduced,none,69,71,65
female,group C,associate's degree,free/reduced,none,53,61,62
male,group C,high school,standard,completed,69,58,53
male,group C,high school,free/reduced,none,27,34,36
female,group D,some high school,free/reduced,completed,35,55,60
female,group B,some high school,free/reduced,completed,63,78,79
male,group B,bachelor's degree,free/reduced,none,48,51,46
female,group C,high school,standard,none,72,80,75
female,group B,high school,standard,none,66,72,70
female,group E,bachelor's degree,standard,none,80,83,83
male,group A,some college,standard,completed,78,72,70
male,group C,high school,standard,none,71,66,65
female,group D,master's degree,standard,none,54,60,63
female,group C,associate's degree,free/reduced,none,57,78,67
female,group D,some college,standard,none,65,70,71
male,group C,high school,free/reduced,completed,53,51,51
female,group D,high school,free/reduced,none,39,52,46
female,group D,associate's degree,free/reduced,none,55,76,76
female,group D,associate's degree,standard,none,59,70,65
female,group B,high school,free/reduced,none,60,72,68
female,group B,associate's degree,standard,none,49,52,54
female,group B,high school,free/reduced,none,8,24,23
female,group D,master's degree,free/reduced,none,40,59,54
female,group C,bachelor's degree,free/reduced,completed,74,86,89
male,group E,some college,standard,none,59,51,43
female,group E,bachelor's degree,free/reduced,completed,92,100,100
male,group C,some college,free/reduced,none,80,64,66
male,group C,bachelor's degree,standard,completed,96,90,92
male,group E,some college,standard,completed,85,75,68
female,group C,bachelor's degree,standard,none,77,88,87
female,group B,high school,free/reduced,completed,76,85,82
male,group C,high school,free/reduced,none,66,66,59
female,group D,bachelor's degree,standard,completed,71,76,83
male,group B,high school,standard,none,60,68,60
male,group D,some college,standard,none,76,71,73
male,group D,some college,standard,completed,58,59,58
female,group B,associate's degree,standard,completed,90,90,91
female,group D,some college,standard,completed,74,75,79
male,group B,some college,free/reduced,none,75,68,65
male,group C,some college,standard,none,69,64,68
female,group B,some high school,standard,completed,60,70,70
female,group B,some college,free/reduced,completed,65,75,70
female,group C,associate's degree,free/reduced,completed,68,67,69
male,group B,high school,standard,completed,72,65,68
male,group B,associate's degree,free/reduced,completed,82,78,74
female,group C,some high school,standard,completed,85,92,93
male,group E,associate's degree,standard,none,72,57,62
male,group D,some college,standard,completed,76,83,79
female,group E,some college,standard,none,67,76,75
male,group A,some college,free/reduced,none,75,81,74
male,group B,some high school,standard,completed,63,67,67
female,group C,associate's degree,standard,none,64,64,70
male,group D,associate's degree,standard,completed,67,72,67
male,group A,some college,free/reduced,none,58,60,57
female,group B,associate's degree,free/reduced,none,53,71,67
male,group C,some high school,standard,none,73,66,63
male,group D,master's degree,standard,none,89,84,82
female,group C,high school,standard,none,65,69,67
female,group C,some college,standard,completed,70,72,76
female,group D,bachelor's degree,standard,none,65,67,62
male,group D,some high school,standard,none,74,74,72
female,group D,associate's degree,standard,none,71,71,74
female,group E,bachelor's degree,standard,none,100,100,100
male,group C,high school,standard,none,71,60,61
male,group E,high school,standard,completed,87,91,81
female,group D,associate's degree,free/reduced,none,26,31,38
male,group B,associate's degree,standard,completed,91,89,92
female,group A,associate's degree,standard,none,82,93,93
male,group D,high school,standard,none,66,69,63
female,group E,bachelor's degree,standard,completed,79,81,82
male,group D,some college,standard,completed,63,55,63
female,group D,master's degree,standard,none,87,100,100
male,group C,bachelor's degree,standard,none,69,63,61
female,group C,associate's degree,standard,none,53,62,53
male,group C,some college,free/reduced,completed,50,48,53
female,group D,associate's degree,standard,none,85,91,89
